구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
중구,학성공원사거리 울산약국 앞,,울산광역시 중구 학성로 239(학성동),울산광역시 중구 학성동 60-1,35.5564387,129.337061,2020-09-23,O
중구,학성공원사거리 인력산업 앞,,울산광역시 중구 학성공원13길 44(학성동),울산광역시 중구 학성동 62-14,35.5555036,129.3372583,2020-09-23,O
중구,복산성당 교통섬,,울산광역시 중구 구역전길 37(학산동),울산광역시 중구 학산동 189-19,35.5585218,129.3280732,2020-09-23,O
중구,반구사거리 교통섬 울산H병원 앞,,울산광역시 중구 화합로 363(반구동),울산광역시 중구 반구동 265-10,35.5583683,129.3408012,2020-09-23,O
중구,반구사거리 교통섬 스포츠재활,,울산광역시 중구 화합로 358(반구동),울산광역시 중구 반구동 447-22,35.5578876,129.3418774,2020-09-23,O
중구,반구시장 김밥천국 앞,,울산광역시 중구 염포로 20(반구동),울산광역시 중구 반구동 449-1,35.5592154,129.3438827,2020-09-23,O
중구,복산사거리 피자스쿨 앞,,울산광역시 중구 번영로 478(반구동),울산광역시 중구 반구동 62-4,35.5637929,129.3360404,2020-09-23,O
중구,복산사거리 던킨도너츠 앞,,울산광역시 중구 번영로 482(반구동),울산광역시 중구 반구동 54-1,35.564031,129.3364293,2020-09-23,O
중구,병영오거리 교통섬 하나로마트 앞,,울산광역시 중구 구교로 268(남외동),울산광역시 중구 남외동 456-6,35.5678397,129.3435028,2020-09-23,O
중구,구철길사거리 교통섬 낙지한마당 앞,,울산광역시 중구 화합로 371(반구동),울산광역시 중구 반구동 262-30,35.5587173,129.3405357,2020-09-23,O
중구,홈플러스 앞,,울산광역시 중구 번영로 475(복산동),울산광역시 중구 번영로 475(복산동),35.561706,129.3313444,2020-09-23,O
중구,중앙전통시장 입구,,울산광역시 중구 번영로325,울산광역시 중구 복산동 100 홈플러스울산점,35.5644244,129.3348128,2020-09-23,O
중구,태화루 사거리,,울산광역시 중구 태화동 77-2,-,35.5533794,129.3084106,2020-09-23,O
중구,태화시장 입구,,울산광역시 중구 태화동 92-21,-,35.5540191,129.3068549,2020-09-23,O
중구,함월고 앞,,울산광역시 중구 종가3길 25(유곡동),울산광역시 중구 유곡동 203-6 함월고등학교,35.5613469,129.2972213,2020-09-23,O
중구,함월고 맞은편,,울산광역시 중구 종가3길 33(유곡동),울산광역시 중구 유곡동 265-1,35.5629298,129.2985535,2020-09-23,O
